furniture,type,url,rate,delivery,sale,price
Plastic chair ,Modern Home,https://www.jumia.com.eg//ar/plastic-chair-brown-4pc-generic-mpg846598.html,4.5,52.44,21%,340.0
Sidra Sporty Puff Water Proof,Sedra,https://www.jumia.com.eg//ar/sedra-sedra-sporty-buff-woter-prof-40278028.html,0,52.44,0%,620.0
Capitone seat ,Rango,https://www.jumia.com.eg//ar/rango-capitone-seat-50x40-dark-blue-16578981.html,0,52.44,10%,1000.0
One-Piece Office Armrest Seat Cover Rotating Elastic Chair,One Piece Office Armrest Seat Cover Rotating Elastic Chair,https://www.jumia.com.eg//ar/generic-one-piece-office-armrest-seat-cover-rotating-elastic-chair-37108329.html,0,234.89,50%,986.24
waiting chair,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-waiting-chair-1637541.html,0,52.44,18%,600.0
Corner bed ,Rango,https://www.jumia.com.eg//ar/rango-corner-bed-grey-rango-25232827.html,0,172.14,14%,7000.0
Kitchen ladder chair,Modern Home,https://www.jumia.com.eg//ar/generic-wooden-folded-chairladder-23537047.html,4.5,52.44,1%,800.0
"Recliner Replacement Elastic Cord Repair Tool for Zero Gravity Chair, Lounge Chair and Bungee Chair, 4 Pack Brown",Recliner Replacement Elastic Cord Repair Tool for Zero Gravity Chair  Lounge Chair and Bungee Chair    Pack Brown,https://www.jumia.com.eg//ar/generic-recliner-replacement-elastic-cord-repair-tool-for-zero-gravity-chair-lounge-chair-and-bungee-chair-4-pack-brown-31308761.html,0,116.99,49%,340.09
Bean Bag Chair Waterproof ,Penguin,https://www.jumia.com.eg//ar/penguin-chair-bean-bag-waterproof-95-80-purple-40314752.html,0,52.44,0%,649.0
Multi-purpose Tool Durable Multi-purpose Tool Gadgets,Multi purpose Tool Durable Multi purpose Tool Gadgets,https://www.jumia.com.eg//ar/generic-multi-purpose-tool-durable-multi-purpose-tool-gadgets-black-37136088.html,5,28.96,50%,98.0
"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-160-length-195-high-30-24394271.html,5,172.14,14%,4999.0
Modern desk with side shelves ,General,https://www.jumia.com.eg//ar/general-modern-office-with-side-shelves-white-red-9040-cm-38562565.html,0,52.44,54%,1850.0
"Mora mattress, ten years guarantee, size is high",Modern Home,https://www.jumia.com.eg//ar/generic-mattress-width-160-length-195-high-25-24333649.html,5,172.14,12%,4599.0
His office is a cm TV,Modern Home,https://www.jumia.com.eg//ar/generic-modern-t.v-unit-1804040-cm-38263284.html,0,52.44,36%,6000.0
Sarcomisr Office Chair Set - 3 Pcs - Mesh Black,Sarcomisr Office Chair Set     Pcs   Mesh Black,https://www.jumia.com.eg//ar/sarcomisr-office-chair-set-3-pcs-mesh-black-17837930.html,4.2,52.44,6%,3500.0
Home Gallery Beige Wall Shelf,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-floating-shelf-80x20-beige-26929239.html,0,22.23,17%,228.0
Modern TV table ,Gad Woods,https://www.jumia.com.eg//ar/gad-woods-modern-tv-table-804530cm-white-27066253.html,0,172.14,50%,1300.0
Asiri puff with handmade cotton stuffing ,Modern Home,https://www.jumia.com.eg//ar/generic-asseri-cotton-buff-stuffed-handmade-modern-dark-red-30506752.html,0,52.44,0%,375.0
"Modern capton bed, cm wood",Royal Home,https://www.jumia.com.eg//ar/royal-home-stylish-modern-captain-bed-160195-cm-29237142.html,0,172.14,9%,5500.0
Bean Bag Standard from Flamingo,Flamingo,https://www.jumia.com.eg//ar/flamingo-medium-waterproof-bean-bag-by-flamingo-yellow-23416539.html,2,52.44,0%,670.0
"Shannon cupboard, beige storage shelves, brown shelves",Modern Home,https://www.jumia.com.eg//ar/generic-cupboard-storage-shelves-page-in-4-shelves-24964123.html,4.3,10.83,13%,759.0
Corner bed x and footie x,Rango,https://www.jumia.com.eg//ar/rango-corner-sofabed-260170-cm-chair-90120-cm-19079043.html,0,172.14,11%,9000.0
Office chair waiting ,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-waiting-chair-black-leather-19562967.html,4.7,52.44,13%,635.0
مطبخ قطعتين طول 120 سم مع دولاب تخزين بالتربو - اسود,Modern Home,https://www.jumia.com.eg//ar/generic-kitchen-three-pieces-120-cm-cupboard-turbo-black-38800554.html,0,172.14,16%,9500.0
Practical desk for small spaces especially for kids ,Modern Home,https://www.jumia.com.eg//ar/generic-practical-desk-especially-for-youngs-white-10080-cm-31172486.html,0,172.14,50%,2000.0
Home Gallery Brown Wall Shelf,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-floating-shelf-60x20-brown-26929244.html,0,22.23,17%,192.0
Milano mattress with a bed ,Global,https://www.jumia.com.eg//ar/global-milano-bed-mattress-width-120-height-24-cm-29195575.html,0,172.14,0%,2925.0
"Wall Mounted TV Unit, Cabinet CM (White)",Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-110-cm-white-38067323.html,0,52.44,41%,850.0
Clove bean bag black leather,Homztown,https://www.jumia.com.eg//ar/homztown-glove-bean-bag-black-leather-23551148.html,0,52.44,34%,1980.0
Kitchen bar chair cm,Modern Home,https://www.jumia.com.eg//ar/generic-kitchen-chair-bar-50-cm-13457867.html,0,52.44,13%,375.0
"Compressed medical sponge bed mattress, ""rebound"", cm high",Family Bed,https://www.jumia.com.eg//ar/family-bed-compressed-medical-sponge-mattress-height-15-cm-30916426.html,0,172.14,0%,
Portable Folding Garden Camping Chair Chair for Hunting Hiking Outdoor Travel....,Modern Home,https://www.jumia.com.eg//ar/portable-folding-garden-camping-stools-seat....-generic-mpg882503.html,5,52.44,48%,550.0
Bean Bag Puff by Flamingo,Flamingo,https://www.jumia.com.eg//ar/flamingo-buff-waterproof-bean-bag-by-flamingo-grey-23416551.html,0,52.44,0%,250.0
Large Flamingo Bean Bag,Flamingo,https://www.jumia.com.eg//ar/flamingo-large-waterproof-bean-bag-by-flamingo-red-23416530.html,0,52.44,0%,820.0
Home Gallery Gray Wall Shelf,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-floating-shelf-60x20-gray-26929236.html,0,22.23,17%,192.0
Beige classic sofa bed ,Modern Home,https://www.jumia.com.eg//ar/big-classic-sofa-bed-from-big-maroon-22451649.html,5,172.14,30%,4000.0
Chaise longue x ,Arikaty,https://www.jumia.com.eg//ar/arikaty-chazlong-3-1-gray-27302008.html,0,172.14,33%,2999.0
Home Gallery Brown White TV Unit,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-tv-unit-40x25x120-brownwhite-26929507.html,0,52.44,17%,3450.0
Cashmere bed,In Home,https://www.jumia.com.eg//ar/bed-120-cm-cashmere-in-home-mpg871828.html,5,172.14,0%,3500.0
His desk is a black cm TV,Modern Home,https://www.jumia.com.eg//ar/generic-modern-t.v-unit-1804040-cm-black-38437793.html,0,52.44,54%,6000.0
Modern TV unit ,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-modern-t.v-unit-1305040-cm-browngrey-16445987.html,0,172.14,31%,4500.0
Bedside table with storage shelf ,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-black-554040-cm-305-27152038.html,0,172.14,58%,1200.0
Entrance table ,Modern Home,https://www.jumia.com.eg//ar/generic-modern-table-80x-45-x-40cm-33830147.html,0,172.14,44%,2500.0
Wooden desk with open shelves,Modern Home,https://www.jumia.com.eg//ar/generic-modern-desk-with-open-shelves-6075145-cm-32140577.html,0,52.44,9%,2200.0
"A set of silicone chair heels to keep the floor, white pieces",Modern Home,https://www.jumia.com.eg//ar/generic-4pc-table-chair-leg-silicone-cap-pad-furniture-table-feet-cover-floor-protector-white-29284122.html,0,52.44,10%,50.0
100*40*75 - مكتب منزلي للدراسه  - ابيض,Modern Home,https://www.jumia.com.eg//ar/generic-home-studying-office-desk-100x40x75cm-white-37973154.html,0,172.14,24%,1650.0
Modern Home Office Desk - 90*40 - Black,Modern Home Office Desk           Black,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-brown-37494623.html,0,52.44,45%,1700.0
Medium bean bag from Flamingo,Bean GO,https://www.jumia.com.eg//ar/bean2go-4-medium-beanbag-by-flamingo-29681563.html,0,52.44,0%,2499.0
General Home  Studying Desk - 90x80x40 -  White,General Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/general-home-studying-desk-90x75x40-white-38835534.html,0,172.14,53%,1900.0
"Storage unit for books, accessories and decoration ",Modern Home                                             W  W,https://www.jumia.com.eg//ar/modern-home-storage-unit-for-books-accessories-and-decoration-white-w8w-21218891.html,0,52.44,23%,1200.0
Waterproof Bean Bag Chair ,Penguin Group,https://www.jumia.com.eg//ar/penguin-group-chair-bean-bag-waterproof-95-80-turquoise-22982625.html,0,52.44,12%,740.0
Elegant sideboard ,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-distinctive-buffet-120x40x80-from-marfy-touch-22326488.html,0,52.44,40%,6000.0
Beige Super Sofa Bed ,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-beige-22454260.html,5,172.14,17%,3500.0
Indoor/Outdoor Inflatable Bean Bag Air Chair Sofa,Modern Home,https://www.jumia.com.eg//ar/indoor-and-outdoor-inflatable-bean-bag-air-chair-sofa-generic-mpg875697.html,1,52.44,33%,1499.0
plastic chair (piece),Modern Home,https://www.jumia.com.eg//ar/plastic-chair-brown-2pc-generic-mpg846597.html,3.3,52.44,12%,150.0
90*40*75 - مكتب منزلي للدراسه  - ابيض,Modern Home,https://www.jumia.com.eg//ar/generic-home-studying-office-9040x75-white-37494589.html,0,172.14,46%,1550.0
Height adjustable table,Modern Home,https://www.jumia.com.eg//ar/generic-foldable-table-adjustable-height-27007075.html,0,52.44,0%,777.0
Classic corner bed from beige,Modern Home,https://www.jumia.com.eg//ar/big-classic-corner-bed-from-big-brouwn-22451658.html,0,172.14,11%,5500.0
"Shelving unit cm, wooden color with white",General,https://www.jumia.com.eg//ar/general-modern-wooden-shelf-1704520-cm-wooden-color-with-white-38826759.html,0,52.44,63%,2200.0
Wood bar chair ,Modern Home,https://www.jumia.com.eg//ar/bar-wooden-chair-60-cm-generic-mpg727803.html,3.9,52.44,16%,450.0
"Mora mattress, ten years guarantee, size is high",Modern Home,https://www.jumia.com.eg//ar/generic-mora-mattress-width-180-length-195-high-30-24305099.html,0,172.14,17%,4999.0
Primo beige sofa bed ,Arikaty,https://www.jumia.com.eg//ar/arikaty-brimo-sofa-bed-from-big-navy-27302002.html,0,172.14,28%,4999.0
Shazlong ,Rango,https://www.jumia.com.eg//ar/rango-lounge-chair-70190-cm-teal-22748497.html,0,172.14,33%,2999.0
Habitat (Gold) ,Habitat,https://www.jumia.com.eg//ar/habitat-gold-pocket-spring-mattress-120x195-height-23cm-33193842.html,0,172.14,0%,3349.0
Portable Folding Chair Outdoor Folding Chair Fishing Hiking Picnic BBQ Canvas Folding Camping Beach Chair,Modern Home,https://www.jumia.com.eg//ar/generic-portable-folding-chair-outdoor-folding-stool-for-fishing-hiking-picnic-bbq-oxford-cloth-foldable-camping-beach-chair-blue-light-29169198.html,0,52.44,0%,600.0
Modern Home Modern Library With Matching Shelves _Red_W10,Modern Home Modern Library With Matching Shelves  Red W,https://www.jumia.com.eg//ar/modern-home-modern-library-with-matching-shelves-redw10-21310281.html,4,52.44,14%,1450.0
buft1 Buffet - Brown,buft  Buffet   Brown,https://www.jumia.com.eg//ar/generic-luxury-buft1-buffet-brown-24207749.html,0,172.14,0%,4000.0
Handmade cotton filling puff ,Modern Home,https://www.jumia.com.eg//ar/generic-heritage-cotton-buff-stuffed-handmade-modern-black-30506730.html,0,52.44,0%,375.0
Bean Bag Puff by Flamingo,Flamingo,https://www.jumia.com.eg//ar/flamingo-buff-waterproof-bean-bag-by-flamingo-turquiose-23416552.html,5,52.44,0%,299.0
Extra bed size,Modern Home,https://www.jumia.com.eg//ar/generic-extra-bed-80190-38387459.html,0,172.14,19%,4000.0
Marfy Touch Modern Wooden 3 Tables - Brown,Marfy Touch Modern Wooden   Tables   Brown,https://www.jumia.com.eg//ar/modern-wooden-3-tables-brown-marfy-touch-mpg757592.html,3.8,52.44,56%,2700.0
Beige marble table,Modern Home,https://www.jumia.com.eg//ar/generic-coffee-table-with-beige-marble-20821824.html,0,172.14,0%,920.0
cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38494809.html,0,52.44,72%,3000.0
White Medical Office Director Chair ,Modern Home,https://www.jumia.com.eg//ar/generic-white-medical-office-director-chair-red-mesh-39103500.html,0,52.44,0%,1850.0
Wooden Foldable Table - 60100,Wooden Foldable Table,https://www.jumia.com.eg//ar/generic-wooden-foldable-table-60100-28198498.html,0,172.14,50%,888.0
Little Todd Bean Bag,Ariika,https://www.jumia.com.eg//ar/ariika-little-todd-beanbag-23133745.html,0,52.44,34%,350.0
waiting chair,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-waiting-chair-1637542.html,4.2,52.44,18%,600.0
"Square wooden table, round, x x cm ",Modern Home,https://www.jumia.com.eg//ar/generic-table-39048018.html,0,172.14,0%,399.0
Plastic children's chair ,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-children-plastic-chair-pink-rose-28222188.html,0,52.44,0%,230.0
Plastic children's chair ,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-children-plastic-chair-dark-blue-28222191.html,0,52.44,0%,240.0
"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-180-length-195-high-25-28210269.html,0,172.14,23%,5699.0
Modern Home Office Desk - 90*40 - White/Black,Modern Home Office Desk           White Black,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-whiteblack-37494617.html,0,52.44,53%,1999.0
Plastic chair and flap ,Modern Home,https://www.jumia.com.eg//ar/generic-plastic-chair-and-clamp-brown-6-pieces-26465989.html,0,52.44,10%,400.0
Bed captonite beige,In Home,https://www.jumia.com.eg//ar/in-home-bed-160cm-capton-beige-23887181.html,4,172.14,0%,4000.0
Drawer unit + roll,Artistico,https://www.jumia.com.eg//ar/artistico-domino-office-cabinet-60-cm-18023739.html,5,172.14,10%,3300.0
Corner bed ,Arikaty,https://www.jumia.com.eg//ar/arikaty-corner-bed-beige-22735043.html,4,172.14,15%,6499.0
Corner bed ,Arikaty,https://www.jumia.com.eg//ar/arikaty-corner-bed-beige-22735043.html,4,172.14,15%,6499.0
Rango Romantic Chair - Beige,Rango Romantic Chair   Beige,https://www.jumia.com.eg//ar/rango-romantic-chair-beige-20552798.html,4.5,172.14,27%,3000.0
5 Storage Shelves From Khorshid,Storage Shelves From Khorshid,https://www.jumia.com.eg//ar/generic-5-storage-shelves-from-khorshid-27683629.html,0,10.83,26%,1000.0
Multipurpose Adjustable Table Mate - White,Multipurpose Adjustable Table Mate   White,https://www.jumia.com.eg//ar/multipurpose-adjustable-table-mate-white-generic-mpg758889.html,0,172.14,22%,222.0
Portable Folding Chair Ultra-Lightweight For Camping,Portable Folding Chair Ultra Lightweight For Camping,https://www.jumia.com.eg//ar/generic-portable-folding-chair-ultra-lightweight-for-camping-33385560.html,0,324.77,47%,1595.4
White TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-modern-table-white-120-cm-33902735.html,0,172.14,27%,2750.0
Cozy Comfy Bean Bag ( ),Modern Home,https://www.jumia.com.eg//ar/cozy-comfy-beanbag-805550-40278034.html,0,52.44,0%,499.0
"Modern capton bed, cm wood",Modern Home,https://www.jumia.com.eg//ar/generic-stylish-modern-captain-bed-120120195-cm-29237143.html,0,172.14,17%,3500.0
Office chair with medium back and plastic wheels,General,https://www.jumia.com.eg//ar/general-office-chair-with-medium-back-and-plastic-wheels-40433486.html,0,52.44,39%,1700.0
cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38469018.html,0,52.44,68%,3000.0
Beige super sofa bed ,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-teal-22454269.html,1,172.14,17%,3500.0
Modern Home Office Desk - 90*40 - Brown,Modern Home Office Desk           Brown,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-brown-37494624.html,0,52.44,53%,1999.0
"Modern capton bed, cm wood",Modern Home,https://www.jumia.com.eg//ar/generic-stylish-modern-captain-bed-120195-cm-33965465.html,0,172.14,0%,6500.0
Sofa Covers Wing Chair Elastic Fabric Stretch Couch,Sofa Covers Wing Chair Elastic Fabric Stretch Couch,https://www.jumia.com.eg//ar/generic-sofa-covers-wing-chair-elastic-fabric-stretch-couch-25017648.html,0,661.28,34%,1990.0
Home Gallery Sturdy Metal Office Table Gray,Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-strong-gray-metal-office-desk-brown-100x60-27526531.html,0,52.44,17%,1794.0
100 Holes Manual Capsule Filling Machine #0 Pharmaceutical,Holes Manual Capsule Filling Machine    Pharmaceutical,https://www.jumia.com.eg//ar/generic-100-holes-manual-capsule-filling-machine-0-pharmaceutical-37668581.html,0,482.23,50%,2323.2
"Coffee table, two pieces, black, from Sola",Modern Home,https://www.jumia.com.eg//ar/sola-coffee-table-two-pieces-black-from-sola-37973057.html,0,172.14,24%,4500.0
Wooden Folding Chair,Wooden Folding Chair,https://www.jumia.com.eg//ar/generic-wooden-folding-chair-13457996.html,0,52.44,27%,650.0
Habitat (Contract) ,Habitat,https://www.jumia.com.eg//ar/habitat-contract-pocket-spring-mattress-160x195-height-26cm-33193820.html,0,172.14,0%,5164.0
Metal Chair - Black,Metal Chair   Black,https://www.jumia.com.eg//ar/generic-metal-chair-black-31741171.html,0,52.44,50%,999.0
"A special table for reading, mobile and eating",Modern Home,https://www.jumia.com.eg//ar/generic-portable-table-lapdesks-for-home-work-and-study-60cmx40cm-22764464.html,0,52.44,27%,300.0
Coffee Table ,Modern Home,https://www.jumia.com.eg//ar/sola-coffee-table-silver-stainless-steel-securit-white-glass-6-mm-27066689.html,0,172.14,20%,6500.0
Wood bar chair ,Modern Home,https://www.jumia.com.eg//ar/bar-wooden-chair-50-cm-generic-mpg759321.html,5,52.44,43%,650.0
Corner bed rich from beige ,Modern Home,https://www.jumia.com.eg//ar/big-rich-corner-bed-maroon-22454254.html,0,172.14,5%,5500.0
TV Table - 100x30x45Cm - Black,TV Table      x  x  Cm   Black,https://www.jumia.com.eg//ar/tv-table-100x30x45cm-black-generic-mpg749510.html,5,172.14,50%,1600.0
Modern coffee table ,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-coffee-table-606020-cm-black-15961416.html,4,172.14,50%,800.0
Dot bean bag,Homztown,https://www.jumia.com.eg//ar/homztown-dot-sabia-beanbag-beige-24250270.html,0,52.44,0%,270.0
Office chair with medium back and plastic wheels,General,https://www.jumia.com.eg//ar/general-office-chair-with-medium-back-and-plastic-wheels-40433482.html,0,52.44,39%,1700.0
Table and chair bag,Modern Home,https://www.jumia.com.eg//ar/generic-table-and-chair-bag-26220667.html,0,52.44,44%,500.0
"Compressed medical sponge bed mattress, ""rebound"", cm high",Family Bed,https://www.jumia.com.eg//ar/family-bed-compressed-medical-sponge-mattress-height-20-cm-30916423.html,0,172.14,0%,
Bed side table with storage shelf ,General,https://www.jumia.com.eg//ar/general-bedside-table-side-table-with-drawer-white-403055-cm-304-38827001.html,0,172.14,0%,1000.0
Folding table cm,SunBoat Commerce,https://www.jumia.com.eg//ar/sunboat-commerce-folding-table-120-cm-22900432.html,0,52.44,25%,11200.0
Corner bed ,Rango,https://www.jumia.com.eg//ar/rango-corner-bed-260x190-cm-brown-free-pouf-4040cm-15932028.html,0,172.14,21%,7000.0
"Momentum side table with legs of beech wood and a plastic top, in a modern style, size 8 cm",Modern Home,https://www.jumia.com.eg//ar/generic-momentum-modern-side-table-39113467.html,0,172.14,0%,406.0
Habitat (Contract) ,Habitat,https://www.jumia.com.eg//ar/habitat-contract-pocket-spring-mattress-120x200-height-26cm-33193824.html,5,172.14,0%,3872.0
Furniture lifter tool kit,Modern Home,https://www.jumia.com.eg//ar/generic-furniture-lifter-mover-tool-set-30926260.html,0,52.44,40%,230.0
"Bed mattress, spring, separate, Roma, height",Family Bed,https://www.jumia.com.eg//ar/family-bed-roma-pocket-spring-mattress-height-20-cm-32592196.html,0,172.14,0%,
90*40*75 - مكتب منزلي للدراسه  - بني,Modern Home,https://www.jumia.com.eg//ar/generic-home-studying-office-9040x75-brown-37494570.html,0,172.14,54%,1850.0
Home office for studying ,Modern Home,https://www.jumia.com.eg//ar/generic-home-studying-office-desk-100x40x75cm-black-38484236.html,0,172.14,48%,2200.0
Sola 3-piece Nested Stainless Steel Table Set,Sola   piece Nested Stainless Steel Table Set,https://www.jumia.com.eg//ar/sola-3-piece-nested-stainless-steel-table-set-27681764.html,0,172.14,19%,6200.0
Natural wood dining table with 6 chairs,Modern Home,https://www.jumia.com.eg//ar/generic-natural-wood-dining-table-set-7-pcs-40207149.html,0,172.14,0%,20000.0
Sofa Bed And Sahara ,Arikaty,https://www.jumia.com.eg//ar/arikaty-sofa-bed-with-storage-grey-22748512.html,0,172.14,25%,5999.0
OR 40*30cm DIY Diamond Style Square Great Outskirts Red House Embroidery Painting multi color,OR      cm DIY Diamond Style Square Great Outskirts Red House Embroidery Painting multi color,https://www.jumia.com.eg//ar/generic-or-4030cm-diy-diamond-style-square-great-outskirts-red-house-embroidery-painting-multi-color-16399363.html,0,92.4,68%,338.0
Bean Bag XL from Flamingo,Flamingo,https://www.jumia.com.eg//ar/flamingo-x-large-waterproof-bean-bag-by-flamingo-blue-23416557.html,0,52.44,0%,1250.0
Metal reception chair,Modern Home,https://www.jumia.com.eg//ar/generic-metal-reception-chair-26870824.html,0,52.44,20%,500.0
Plastic chair and flap ,Modern Home,https://www.jumia.com.eg//ar/generic-plastic-chair-and-taqqa-brown-8-pieces-26465986.html,5,52.44,45%,1000.0
Corner piece beige,At Home,https://www.jumia.com.eg//ar/at-home-corner-2-pieces-beige-25075506.html,0,172.14,0%,9000.0
Caddy Pouf (Handmade) Diameter 1cm Height,Modern Home,https://www.jumia.com.eg//ar/generic-kade-pouf-hand-made-50-diameter-25-height-cm-29499426.html,0,52.44,25%,1200.0
Sarcomisr Office Chair - Black,Sarcomisr Office Chair   Black,https://www.jumia.com.eg//ar/sarcomisr-computer-chair-black-1134932.html,4.6,52.44,0%,1700.0
Plastic baby chair ,El Helal W El Negma,https://www.jumia.com.eg//ar/el-helal-w-el-negma-children-plastic-chair-red-and-yellow-28222187.html,0,52.44,0%,240.0
Beige bed 160 cm beige,At Home,https://www.jumia.com.eg//ar/at-home-beige-bed-160-cm-beige-25061832.html,3.7,172.14,0%,4000.0
Romantic chaise longue,Modern Home,https://www.jumia.com.eg//ar/generic-romantic-chaise-longue-16045-cm-37365967.html,0,172.14,0%,3000.0
Bed captonite beige,In Home,https://www.jumia.com.eg//ar/bed-100-cm-kapton-gray-in-home-mpg871826.html,3.5,172.14,0%,2500.0
Modern home office design,Modern Home,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-39699067.html,0,52.44,0%,860.0
Little Todd Bean Bag,Ariika,https://www.jumia.com.eg//ar/ariika-little-todd-beanbag-23133758.html,0,52.44,34%,350.0
Cozy Comfy Bean Bag ( ),Modern Home,https://www.jumia.com.eg//ar/cozy-comfy-beanbag-805550-40278043.html,0,52.44,0%,499.0
"Side tables set of 3 pieces, black, with black glass top, from Sola",Modern Home,https://www.jumia.com.eg//ar/sola-three-piece-black-side-table-set-black-glass-top-30762111.html,0,172.14,13%,2800.0
Primo sofa bed from beige ,Modern Home,https://www.jumia.com.eg//ar/big-brimo-sofa-bed-from-big-teal-22451641.html,0,172.14,13%,4500.0
Laptop And PC  Desk - 80x75x40 -  Black  -1057,Laptop And PC  Desk     x  x      Black,https://www.jumia.com.eg//ar/generic-laptop-and-pc-desk-80x75x40-black-1057-37494525.html,0,172.14,63%,2550.0
Leather Gaming Chair - Red/Black,Leather Gaming Chair   Red Black,https://www.jumia.com.eg//ar/generic-leather-gaming-chair-redblack-39048330.html,0,52.44,25%,7900.0
Office chair with medium back and plastic wheels,General,https://www.jumia.com.eg//ar/general-office-chair-with-medium-back-and-plastic-wheels-40433480.html,0,52.44,39%,1700.0
Beige rattan chair,Modern Home,https://www.jumia.com.eg//ar/generic-chair-beige-rattan-27601441.html,0,10.83,65%,950.0
Caddy Pouf (Handmade) Diameter 1cm Height,Modern Home,https://www.jumia.com.eg//ar/generic-kade-pouf-hand-made-50-diameter-25-height-cm-29475321.html,0,52.44,25%,1200.0
"Living table, peel ",Modern Home,https://www.jumia.com.eg//ar/generic-living-coffee-table-55-cm-30860774.html,0,172.14,0%,950.0
Modern sofa table ,Marfy Touch,https://www.jumia.com.eg//ar/marfy-touch-modern-living-room-table-55100-cm-brown-x-white-21502075.html,0,172.14,40%,4500.0
"Modern capton bed, cm wood",Modern Home,https://www.jumia.com.eg//ar/generic-stylish-modern-captain-bed-160195-cm-36916436.html,0,172.14,0%,6000.0
Bean Togo Standard Bean Bag Waterproof ,Bean GO,https://www.jumia.com.eg//ar/bean2go-standard-pvc-beanbag-by-bean2go-dark-blue-23513447.html,4.5,52.44,0%,850.0
Table Mate Plastic Foldable Table - White,Table Mate Plastic Foldable Table   White,https://www.jumia.com.eg//ar/plastic-foldable-table-white-table-mate-mpg884376.html,3,52.44,0%,465.0
85x105cm Bean Bag Cover Chair Gamer Seat Protection Cover In,x   cm Bean Bag Cover Chair Gamer Seat Protection Cover In,https://www.jumia.com.eg//ar/generic-85x105cm-bean-bag-cover-chair-gamer-seat-protection-cover-in-23800598.html,0,285.17,50%,1258.0
Level bed ,Rango,https://www.jumia.com.eg//ar/rango-3-levels-bed-120-190-teal-18104944.html,4,172.14,13%,4000.0
Advanced Seat Cushion for Fistula Patients ,Modern Home,https://www.jumia.com.eg//ar/ht-fistulas-advanced-seat-cushion-blue-27211793.html,0,52.44,10%,648.0
"A special table for reading, mobile and eating",Marfy Touch,https://www.jumia.com.eg//ar/portable-table-lapdesks-60cmx40cm-biege-marfy-touch-mpg738687.html,3.5,52.44,56%,1600.0
Mobile manager office chair,Modern Home,https://www.jumia.com.eg//ar/manager-high-moving-chair-generic-mpg809062.html,0,52.44,0%,10500.0
Metal desk ,Artistico,https://www.jumia.com.eg//ar/artistico-metal-desk-120-cm-19336925.html,5,52.44,17%,3000.0
Rango stainless interior,Rango,https://www.jumia.com.eg//ar/rango-entry-rango-stainless-31983945.html,0,172.14,25%,16000.0
Young boy's bedroom brown in black,Hub Furniture,https://www.jumia.com.eg//ar/hub-furniture-ymc-105a-jivas-bd-youth-bedroom-29489669.html,0,172.14,0%,50000.0
Beige Super Corner Bed ,Arikaty,https://www.jumia.com.eg//ar/arikaty-super-corner-bed-from-big-cashmere-x-gray-27302001.html,0,172.14,10%,6999.0
cm tv unit,Artistico,https://www.jumia.com.eg//ar/artistico-modern-t.v-unit-1604055cm-21328107.html,0,52.44,9%,6000.0
Primo sofa bed from beige ,Modern Home,https://www.jumia.com.eg//ar/big-brimo-sofa-bed-from-big-cashmere-22451653.html,3,172.14,13%,4500.0
Beige sofa bed ,Modern Home,https://www.jumia.com.eg//ar/big-storage-sofa-bed-from-big-cashmere-22451645.html,3,172.14,10%,5000.0
Rango Chair Bed - 95×120 Cm - Red,Rango Chair Bed          Cm   Red,https://www.jumia.com.eg//ar/chair-bed-95120-cm-red-rango-mpg707972.html,4.3,52.44,6%,2700.0
Folding bed cm,Modern Home,https://www.jumia.com.eg//ar/generic-fold-able-bed-with-mattress-80190-cm-16111267.html,3.7,172.14,29%,3500.0
Plastic Chair Folding Scissors - White,Plastic Chair Folding Scissors   White,https://www.jumia.com.eg//ar/generic-plastic-chair-folding-scissors-white-23531966.html,1,52.44,39%,500.0
